head_type,rel,tail_type
饼/囊/馍,has,配料
杂志,has,出版社
图书,has,胶版纸
图书,has,摄影人
歌曲,has,录音、混音
影音电器,has,传输接口
食物,has,食材
菜品,has,土豆
图书,has,发行公司
养成游戏,has,背景音乐
茄果瓜类,has,材料
品牌轴承,has,旧型号
电脑机箱,has,适用主板
蓝牙耳机,has,蓝牙版本
竞速游戏,has,时间
协会,has,协会理念
策略游戏,has,厂商
生活软件,has,开发公司
汽车,has,来自
数码产品,has,面板
益智游戏,has,支持终端
图书,has,原书版权
研究生,has,民族
人民政府部门,has,主管
影音电器,has,投影机类型
电子电器产品,has,刀头类型
存储设备,has,处理器
案件,has,人物
主席,has,国籍
图书,has,套装
番茄类,has,主料
养成游戏,has,画面
公立小学,has,主要院系
歌曲,has,歌曲作词
电子元器件,has,显存类型
电脑硬件,has,智能温控
特菜野菜,has,是否引种栽培
蟹类,has,材料
数码产品,has,主屏尺寸
打印机,has,标配内存
电子元器件,has,内存类型
显示器,has,视频接口
机械设备,has,制造商
植物,has,品种类别
导航软件,has,开发商
汤,has,主料
私立大学,has,院系设置
基金会,has,登记管理机关
作品与出版物,has,材质
甜品点心,has,材料
拼图游戏,has,日期
桌上游戏,has,发行公司
电脑,has,键盘
汤,has,佐料
歌曲,has,和音编写
幼儿园,has,收托幼儿
文玩古董,has,袖长
蔬菜类及制品,has,品种类别
政府部门,has,办公室
电子电器产品,has,硬盘类型
医学书籍,has,出版社
3C数码类,has,芯片厂商
年糕,has,主要食材
虾类,has,主要食材
植物,has,主要食材
台式电脑,has,显卡
小说,has,出版社
豆制品,has,材料
兽医,has,职业
电子电器产品,has,主板板型
图书,has,公司
蛋品,has,主要食材
冒险游戏,has,安卓游戏授权
打印机,has,打印方式
游戏,has,安卓游戏大小
从书,has,出版社
网络小说,has,提供方
燃气灶,has,保护装置
塔防游戏,has,日期
乐器,has,年代
手表,has,表壳
图书,has,学校
医疗卫生机构,has,医院院长
菜品,has,主料
动画,has,音乐
运动员,has,国家
动作类小游戏,has,出品公司
飞行游戏,has,发行公司
动画片,has,联合制作机构
季刊,has,开本
音箱,has,材质
陶瓷制品,has,材质
体育小游戏,has,日期
植物,has,植物特征
数码产品,has,散热系统
物品,has,适用职业
爱情电影,has,出品公司
动物品种,has,时代
热水器,has,内胆材料
数码产品,has,机身内存
影音设备,has,存储介质
咨询师,has,国籍
跑酷游戏,has,来自
影音设备,has,ISBN
游戏,has,厂商
菜品,has,低筋面粉
服务机构,has,登记机关
物品,has,相关游戏
电脑配件,has,INTEL芯片
电脑,has,主芯片组
数码产品,has,交换机类型
翻唱歌曲,has,歌曲语言
菜品,has,所用厨具
豆腐,has,花椒
歌曲,has,和声编写/和声
人物,has,发色
公司,has,投资商
