head_type,rel,tail_type
成立时间,synonym,成立年份
厚度B,synonym,B(厚度)
板块区域,synonym,区域板块
物业类型,synonym,物业类别
第2章,synonym,第二章
成立时期,synonym,成立时间
授课老师,synonym,授课教师
出版地点,synonym,出版地
员工数量,synonym,员工人数
ISBN编号,synonym,ISBN号
作者姓名,synonym,作者名
申请日期,synonym,申请日
教学形式,synonym,教学方式
物业类别,synonym,物业类型
有效像素数,synonym,有效像素
分布地域,synonym,分布地区
版次印次,synonym,印版次
最大分辨率,synonym,最高分辨率
商业区,synonym,商业区域
丛书名称,synonym,丛书名
丛书系列,synonym,丛书
装备类型,synonym,装备类别
教职工人数,synonym,教职工数
人群推荐,synonym,推荐人群
印版次,synonym,版次印次
外型尺寸,synonym,外形尺寸
其他性能,synonym,其它性能
总像素数,synonym,总像素
员工人数,synonym,员工数
现任总编,synonym,现任总编辑
目前状况,synonym,目前状态
现任总编辑,synonym,现任总编
控温方式,synonym,温控方式
作物种类,synonym,作物类型
授课教师,synonym,授课老师
首次登场,synonym,初次登场
主要职责3,synonym,主要职责2
命名人及时间,synonym,命名者及时间
命名者及年代,synonym,命名人及年代
混音/母带,synonym,混音母带
系列名称,synonym,系列名
d内径,synonym,d(内径)
成立于,synonym,创立于
专辑类型,synonym,专辑类别
总建筑面积,synonym,建筑总面积
后期缩混,synonym,后期混缩
公司荣誉,synonym,企业荣誉
出生地点,synonym,出生地
初次登场,synonym,初登场
开始创作时间,synonym,始创作时间
推荐人群,synonym,人群推荐
曾效力球队,synonym,曾经效力球队
施行日期,synonym,实施日期
企业愿景,synonym,公司愿景
重量(kg),synonym,重量(Kg)
所在区域,synonym,所属区域
主要职责2,synonym,主要职责3
医院类别,synonym,医院类型
现效力球队,synonym,曾效力球队
出版地,synonym,出版地点
市场价格,synonym,市场价
学校类别,synonym,学校类型
传输速率,synonym,传输速度
所处朝代,synonym,所属朝代
产品尺寸重量,synonym,产品尺寸及重量
产品简介,synonym,产品介绍
命名人、时间,synonym,命名人及时间
CASNo,synonym,CASNO
创立于,synonym,创办于
接口数目,synonym,接口数量
重量(Kg),synonym,重量(kg)
产品种类,synonym,产品品类
丛书,synonym,丛书系列
所在省份,synonym,所属省份
所属区域,synonym,所在区域
命名者时间,synonym,命名者及时间
所在位置,synonym,所属位置
实施日期,synonym,施行日期
商业区域,synonym,商业区
创立于,synonym,成立于
公司愿景,synonym,企业愿景
成立时间,synonym,成立时期
专辑名,synonym,专辑名称
施行时间,synonym,实施时间
成员人数,synonym,成员数量
发售日期,synonym,发售日
专辑名称,synonym,专辑名
扮演者,synonym,饰演者
注册资本,synonym,注册资本金
其它性能,synonym,其他性能
接口数量,synonym,接口数目
OD(外径),synonym,OD外径
d(内径),synonym,d内径
喜爱的食物,synonym,喜欢的食物
支持CPU个数,synonym,支持CPU数
第二章,synonym,第2章
在校人数,synonym,在校生人数
其它介绍,synonym,其他介绍
获得途径,synonym,获取途径
编纂人员,synonym,编撰人员
曾效力球队,synonym,现效力球队
版印次,synonym,印版次
命名者及时间,synonym,命名者时间
印版次,synonym,版印次
始创作时间,synonym,开始创作时间
作物类型,synonym,作物类别
总部地点,synonym,总部位置
所在地区,synonym,所属地区
总像素,synonym,总像素数
装备类别,synonym,装备类型
所属朝代,synonym,所处朝代
获取方式,synonym,获得方式
初次登场,synonym,首次登场
系列名,synonym,系列名称
OD外径,synonym,OD(外径)
毕业院校,synonym,毕业学校
最大像素数,synonym,最大像素
指导价格,synonym,指导价
门派,synonym,門派
其他介绍,synonym,其它介绍
英文名称,synonym,英语名称
SMILES,synonym,Smiles
适合年龄,synonym,适宜年龄
创办于,synonym,创立于
